,Home Team Initials,Away Team Initials,weight,HomeGoalTotal
112,BRA,URU,1,1
113,BRA,USA,1,1
114,BRA,WAL,1,1
115,BRA,YUG,3,3
116,BUL,GER,1,1
117,BUL,GRE,1,1
118,BUL,ITA,2,2
119,BUL,MAR,1,1
120,BUL,NED,1,1
121,BUL,URU,1,1
122,CAN,FRA,1,1
123,CHI,AUS,1,1
124,CHI,AUT,2,2
125,CHI,CMR,1,1
126,CHI,ESP,1,1
127,CHI,FRA,1,1
128,CHI,GDR,1,1
129,CHI,ITA,1,1
130,CHI,MEX,1,1
131,CHI,SUI,2,2
132,CHI,URS,1,1
133,CHI,USA,1,1
134,CHI,YUG,1,1
135,CHN,CRC,1,1
136,CIV,JPN,1,1
137,CIV,POR,1,1
138,CIV,SCG,1,1
139,CMR,AUT,1,1
140,CMR,BRA,1,1
141,CMR,COL,1,1
142,CMR,CRO,1,1
143,CMR,DEN,1,1
144,CMR,GER,1,1
145,CMR,KSA,1,1
146,CMR,NED,1,1
147,CMR,ROU,1,1
148,CMR,SWE,1,1
149,CMR,URS,1,1
150,COL,CIV,1,1
151,COL,ENG,1,1
152,COL,GRE,1,1
153,COL,ROU,1,1
154,COL,TUN,1,1
155,COL,URU,2,2
156,CRC,BRA,1,1
157,CRC,ENG,1,1
158,CRC,GRE,2,2
159,CRC,POL,1,1
160,CRC,SCO,1,1
161,CRC,TUR,1,1
162,CRO,AUS,1,1
163,CRO,MEX,2,2
164,CUB,ROU,2,2
165,CZE,GHA,1,1
166,CZE,ITA,1,1
167,DEN,ENG,1,1
168,DEN,ESP,1,1
169,DEN,FRA,1,1
170,DEN,FRG,1,1
171,DEN,JPN,1,1
172,DEN,SEN,1,1
173,DEN,URU,1,1
174,ECU,CRC,1,1
175,ECU,CRO,1,1
176,ECU,FRA,1,1
177,ECU,GER,1,1
178,ENG,ALG,1,1
179,ENG,ARG,2,2
180,ENG,AUT,1,1
181,ENG,BEL,2,2
182,ENG,BRA,1,1
183,ENG,BUL,1,1
184,ENG,CHI,1,1
185,ENG,CMR,1,1
186,ENG,ECU,1,1
187,ENG,EGY,1,1
188,ENG,FRA,2,2
189,ENG,FRG,1,1
190,ENG,IRL,1,1
191,ENG,ITA,1,1
192,ENG,KUW,1,1
193,ENG,MAR,1,1
194,ENG,MEX,1,1
195,ENG,NED,1,1
196,ENG,PAR,2,2
197,ENG,POL,1,1
198,ENG,POR,2,2
199,ENG,ROU,1,1
200,ENG,SUI,1,1
201,ENG,SWE,1,1
202,ENG,TCH,2,2
203,ENG,TRI,1,1
204,ENG,TUN,1,1
205,ENG,URU,1,1
206,ENG,USA,1,1
207,ESP,BEL,1,1
208,ESP,BRA,2,2
209,ESP,BUL,1,1
210,ESP,CHI,2,2
211,ESP,ENG,2,2
212,ESP,FRA,1,1
213,ESP,HON,2,2
214,ESP,IRL,1,1
215,ESP,KOR,2,2
216,ESP,MEX,1,1
217,ESP,NED,1,1
218,ESP,NGA,1,1
219,ESP,PAR,2,2
220,ESP,POR,1,1
221,ESP,SUI,3,3
222,ESP,SVN,1,1
223,ESP,SWE,1,1
